3 870267
3 337365
2 385279
3 908043
A 312395
A 556941
1 524423
A 753019
B 271030
3 699569
B 635266
A 670465
1 370988
1 246711
A 724711
3 474815
B 200170
3  84932
B 143475
3  92627
A 693047
2 214144
B 699627
B 954111
A 918872
3 456491
1 558478
B 200772
3 144201
B 992656
3  93914
2 463893
3 279653
3 879534
B 541801
2 878999
1 621730
2 452319
3  60307
B 292015
A  60112
A 533318
A 875463
1 548056
3 181574
2 888578
2   8186
2 569573
3 901297
3 710969
3 421269
1 677947
1 683113
A 364357
A 536697
3 722600
2 404878
2 215400
A 990010
1 300007
1 304170
2 447073
1 541058
3 600196
2 465754
B 885455
3 901134
3 930023
2 693670
2 327669
1 950752
2 827177
1 306189
2 635973
B 806035
1 467784
B 124567
A 422562
1 931505
2 107982
B 333925
2 284283
2 556841
2 819307
1 508687
3 480879
2 197246
3 815072
3 350635
1 799635
2 387027
3 266876
A 182278
1 177221
2 712198
1 511043
A 278641
B 281183
1   9634
3  85993
